Column1,Column2,Column3,Column4
authentication.login.error.internal,Une erreur est survenue lors de la connexion. Veuillez réessayer ultérieurement.,An error occurred during connection. Please retry later.,
unit.title.size_type.demi_3,3 et demi,3 1/2,
unit.title.size_type.demi_2,2 et demi,2 1/2,
payment.plan.form.error.coupon_code,Le coupon n'est pas valide,The coupon is not valid,
invoice.delete.message.description,Cette facture sera supprimée définitivement ainsi que toutes les transactions comptables associées.,This invoice will be permanently deleted as well as all associated accounting transactions.,
gl_account.name.title,Catégorie de compte GL,GL Account Name,
core.date.format,AAAA-MM-JJ,YYYY-MM-DD,
book.transaction.type.rent_storage,Loyer d'entreposage ,Rent Storage,
gl_account.btn.export.data,Exporter des données,Export data,
invoice.status.plural,Statut de facture,Invoice Status,
scheduler.detail.nodescription,Sans description,No description,
authentication.sign-up-email.validate.message.success,Votre adresse courriel a bien été validée. Vous pouvez commencer à utiliser Wazo.,Your email address has been validated. You can start using Wazo.,
core.search,Recherche ...,Search...,
user.users.list.field.lang,Langage,Language,
scheduler.detail.nonotes,Aucune note,No notes,
accounting.paymentType.credit_card,Carte de crédit,Credit card,
gl_account.nature.debit,Débit,Debit,
scheduler.detail.delete.no,Non,No,
lease.label.waitingSign,Attente de signature,Waiting for signature,
user.profile.billing.card.title,Carte de crédit,Credit Card,
gl_account.name.title.plural,Noms des comptes GL,GL Account Names,
user.profile.storage.document.accounting.title,Documents comptables,Accounting documents,
extract.validation,Veuillez d'abord filtrer les détails.,Please filter details first.,
scheduler.allday.button,Afficher tous les jours planifiés,Show all day schedules,
receivable.discount.type.ppa,Paiement préautorisé (PPA),Pre-authorized payment (PPA),
ppa.action.select.date.message,Sélectionner une date pour voir les paiements préautorisés associés (PPA),Select a date to see the associated pre-authorized payment (PPA),
authentication.reset-password-success.title,Mot de passe réinitialisé avec succès !,Password successfully reset!,
validation.error.message,Validation n'a pas réussi. {0} error(s),Validation failed. {0} error(s),
receivable.label.export.type,Selectionnez votre(vos) type(s) d'exportation *,Select your type(s) of export *,
quote.add.project.new.name,Nom du projet,Project name,
authentication.reset-password.input.enter-new-password,Entrer un nouveau mot de passe,Enter new password,
authentication.reset-password-success.text.main-paragraph,Votre mot de passe à été réinitialisé. Vous allez être redirigé vers la page de connexion automatiquement. Si vous n'êtes pas automatiquement redirigé après un délais utilisez le bouton ci-dessous.,Your password has now been reset. You will be redirected to the login page automatically. If you are not redirected after the delay use the button bellow.,
user.profile.billing.card.information.title,Information de carte de crédit,Credit Card information,
accounting.paymentType.e_transfer,E-Transfer,E-Transfer,
bankAccount.no.bankAccount.plural,Aucune information bancaire,No bank information,
ppa.validate.message.description,Vous êtes sur le point d'approuver le(s) prépaiement(s) sélectionné(s) (PPA).,You are about to approve the selected pre-authorized payment(s) (PPA).,
building.field.revenues,Revenus de la propriété,Revenue of the property,
quote.add.project.select,Sélectionner un project,Select a project,
ppa.validate.message.title,Êtes-vous vraiment sûr(e) de vouloir approuver ce(s) paiement(s) préautorisé(s) (PPA) ?,Do you want to approve the pre-authorized payment(s) (PPA) ?,
user.detail.mainPanel.section.1.title,Informations du compte,Account information,
bankAccount.transit.number.error.message,Le numéro de transit bancaire doit contenir 5 chiffres seulement.,The bank transit number must have 5 digits.,
authentication.sign-up-email.error.email.format,Veuillez fournir une adresse courriel valide,Please provide a valid email address,
plan.ref.col.storage,Espace d'entreposage,Storage space,
supplier.action.edit,Modifier un fournisseur,Edit a supplier,
scheduler.detail,Détail,Detail,
authentication.forgot-password.text.main-paragraph,Veuillez entrer votre nom d'utilisateur ou adresse courriel. Vous receverez un lien dans votre boite de réception pour réinitialiser votre mot de passe.,Enter your username or email address. You will receive a link in your mailbox to reset your password,
lease.field.perceptionAmount.total.not.equal.error,Le montant indiqué n'est pas égal au montant du loyer,The amount indicated is not equal to the amount of the rent,
quote.add.scope.expansion.2.title,Produits,Products,
quote.add.cancel,Annuler,Cancel,
accounting.paymentType.ppa,Paiement Préautorisé (PPA),Pre-authorized payment (PPA),
receivable.discount.type.pad,Débit Préautorisé (DPA),Pre-authorized debit (PAD),
scheduler.detail.delete.dialog,Ëtes-vous sûr(e) de vouloir supprimer cette horaire?,Are you sure you want to delete this schedule?,
ppa.status.error_to_define.description,"Erreur inconnue, merci d'enquêter avec votre banque afin de résoudre le problème.","Unknown error, please contact your bank to resolve the issue.",
quote.all.new,Nouveau,New,
ppa.message.retry.payment,Le paiement préautorisé (PPA) sera relancé.,The pre-authorized payment (PPA) will be reprocessed.,
scheduler.filter.activity,Activité,Activity,
core.amount.discount,Promotion,Discount,
enum.tree.element.type.task.name,Tâche,Task,
quote.add.scope.tree.node.3.title,Forfaits,Packages,
lease.error.already.lease.same.date,Il y a déjà un bail à la même plage horaire.,There is already lease in the same range date.,
scheduler.detail.results,Résultats,results,
ppa.grid.action.validate_all,Valider les paiements préautorisés sélectionnés (PPA),Validate the selected pre-authorized payment (PPA),
receivable.discount.type.e_transfer,E-Transfert,E-Transfer,
lease.error.renew.date.to.come,Il y a déjà un bail dans cette plage horaire avec le statut à venir.,There is already lease in the range date with to come status,
lease.error.renew.in.pending.active,Le bail n'a pas le statut actif.,The lease does not have active status,
quote.add.scope.tree.node.1.title,Produits,Products,
quote.add.client.new,Créer un nouveau client,Create a new client,
book.transaction.type.rent_unit,Loyer d'appartement,Rent Apartment,
user.profile.picture,Photo de profil,Profile picture,
bankAccount,Compte bancaire,Bank account,
lease.rent.allocate,Loyer alloué  ,Rent allocate,
lease.status.of.lease,Statut du bail,Status of the lease,
parking.type,Type de stationnement,Type of parking,
scheduler.detail.delete.yes,Oui,Yes,
ppa.grid.empty,Aucun paiement préautorisé (PPA) disponible.,No pre-authorized payment (PPA) available,
parking.delete.message.description,Ce stationnement sera supprimé définitivement.,This parking will be permanently deleted.,
user.userProfile.admin_wazo,Administrateurs,Administrators,
accounting.error.add.invalid_amount_entry,Vous ne pouvez pas ajouter un montant au débit et au crédit dans la même écriture comptable,You can't add a debit and credit amount in the same book entry,
accounting.title.grid.entries,Entrées Comptables   ,Book Entries,
accounting.paymentType.pad,Débit Préautorisé (PAD),Pre-authorized debit (PAD),
landlord.action.edit.contact,Modifier un contact,Edit a contact,
unit.addBuilding,Ajouter un bâtiment,Add a building,
lease.label.waitingValidation,En attente de validation,Waiting for validation,
landlord.taskRules.error.dialog.content,Veuillez mettre à jour votre forfait.,Please upgrade your plan.,
authentication.login.error.username.required,Nom d'utilisateur requis,Username required,
user.field.email.label,Adresse courriel,Email address,
plan.description.realestate.manage,Gestion d’entreposage et de stationnements,Manage storage units and parking lot,
scheduler.detail.delete,Supprimer,Delete,
quote.add.project.create,Créer un nouveau projet,Create new project,
ppa.action.search.date.title,Rechercher une date de transaction pour les paiements préautorisés (PPA),Find a transaction date for pre-authorized payment (PPA),
quote.add.tabs.3.title,Prix,Pricing,
quote.add.scope.expansion.4.title,Forfaits,Packages,
tax.title,Taxe,Tax,
navbar.section.user.title,Utilisateurs ,Users,
plan.payment.title,Paiement,Payment,
core.location.province,Province,State,
plan.description.realestate.documentary.description,Wazo vous donne accès à une voute documentaire. Vous pouvez y importer vos fichiers importants afin d'y accéder rapidement lorsque nécessaire.,Wazo gives you access to a documentary vault. You can import all your important files for quick access when needeed,
tenant.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer ce locataire ?,Are you sur you want to delete this tenant?,
invoice.warning.message.create,La balance doit être à 0 pour poursuivre la création de la facture,Your balance must be 0 to create an invoice,
core.location.message.address_not_match,"L’adresse réelle peut parfois différer de celle trouvée, notamment pour de nouvelles constructions","The real address can sometimes be different from what found, especially for new constructions",
invoice.action.delete.imputation.description,Êtes-vous vraiment sûr de vouloir supprimer cette imputation ?,Are you sur you want to delete this charge?,
plan.benefit.storage.base.description,"Avec le forfait Freemium, vous disposez de 500 MB pour enregistrer vos fichiers. Ces fichiers peuvent être associés à des bâtiments, stationnements, espaces d'entreposage, appartements, locataires ou propriétaires.","With a Freemium account, you have up to 500MB of storage room to save your files. These can be associated to buildings, apartments, parking lots, storage spaces, tenants or owners.",
plan.benefit.storage.professional.description,"Avec le forfait Premium, vous disposez de 10 GB pour enregistrer vos fichiers. Ces fichiers peuvent être associés à des bâtiments, stationnements, espaces d'entreposage, appartements, locataires ou propriétaires.","With the Premium plan, you have up to 10GB of storage room to save your files. These files can be associated to building, parking lots, tenants, storages, owners or apartments.",
authentication.login.error.incorrect.fields, Votre identifiant et/ou votre mot de passe sont incorrects.,Your username and/or password are incorrect.,
parking.select.error.empty,Il n'existe actuellement aucun stationnement pour ce bâtiment. ,There is currently no parking associated with this building.,
plan.description.realestate.multilandlord.description,Wazo vous permet d'ajouter un nombre illimité de propriétaires. Ceux-ci doivent être ajoutés sur la version ordinateur de Wazo.,Wazo allows you to add an unlimited number of owners. These must be added on the desktop version of Wazo.,
landlord.select.building.error.empty,Il n'existe actuellement aucun bâtiment pour ce propriétaire.,There is currently no building for this owner.,
plan.description.mobile.documents,Accès à la voûte documentaire,Access to your documentary vault,
receivable.action.show.unpaid,Voir les recevables non payés,See unpaid receivables,
receivable.action.add.error.landlord.bankAccounts.empty,Aucune information bancaire trouvée pour ce propriétaire,No banking information found for this owner,
taskRule.task.type.waiting_for_ocr,En attente de traitement ,Waiting for Smart Data,
manager.invitation.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer cette invitation ?,Do you really want to delete this invitation?,
landlord.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer ce propriétaire ?,Do you really want to delete this owner?,
bankAccount.no.bankAccount.message,Aucune information financière disponible. Vous pouvez utiliser le formulaire de modification du fournisseur pour en ajouter.,No financial information available. You can use the supplier modification form to add more.,
document.error.storage.base.owner,"Vous avez atteint votre limite de ""500 MB"" autorisée par votre plan ""BASE"". Veuillez passer au plan supérieur pour continuer à téléverser des documents.",The storage limit of “500 MB” included in the “BASE” plan has been reached. Please upgrade your subscription plan in order to upload this document.,
invoice.select.landlord.specific,Propriétaire spécifique,Specific owner,
plan.description.users.approval.description,"Les forfaits Standard et Premium vous permettent d'appliquer des règles d'approbation à vos collaborateurs. Par exemple, vous gardez le contrôle sur l'approbation des factures ajoutées à votre compte.","The Standard and Premium packages allow you to put approval rules, you can issue approval rules on your collaborators.",
plan.description.realestate.multilandlord,Création de multi-propriétaire,Multi-owner creation,
key,valueFr,valueEn,
user.field.username.label,Nom d'utilisateur,Username,
document.category.equipment,Équipement,Equipment,
plan.alert.upgrade.noLabel,Annuler,Cancel,
core.information.contact,Informations du contact,Contact information,
invoiceTask.reject.reason.litigation,Litige,Litigation ,
supplier.delete.message.description,Ce fournisseur sera supprimé définitivement.,This supplier will be permanently deleted.,
plan.professional.storage.title,10gb,10gb,
ppa.status.not_process,Non traité,Untreated,
taskRule.task.type.paid,Payé,Paid,
invoice.status.processing_by_ocr,En cours,Processing,
unit.information,Informations de l’appartement,Apartment information,
core.action.crop.picture,Recadrer une photo,Crop a picture,
lease.promotion.discount,Promotion / Remise,Promotion / Discount,
core.contact.title.plural,Contacts,Contacts,
authentication.mobile.local.touch-id,Touch ID,Touch ID,
ppa.button.action.status.to_retry,Réessayer,Retry,
core.order.alphabetical,A à Z,A to Z,
payment.plan.plan.code.std.year,Standard/an,Standard/year,
core.action.validate,Valider,Validate,
plan.description.realestate.tenant,Gestion de locataires,Tenant management,
tax.title.plural,Taxes,Taxes,
rentItem.type.title,Type d’unité,Unit type,
plan.standard.doors.offer.unlimited,Illimitée,Unlimited,
invoice.imputation.amount.invalid.label,Imputation invalide,Invalid imputation,
payment.plan.form.credit.card.cvv,CVV,CVV,
plan.benefit.price.promotion,Promotion,Promotion,
lease.label.tenant.delete.button,Supprimer le locataire ?,Delete tenant ?,
invoice.action.pay.message.title,Facture planifiée,Planned invoice,
storage.title.plural,Entreposages,Storages,
core.collection.receivable,Recevable,Receivable,
user.tab.users,Utilisateurs,Users,
user.field.notes.label,Notes,Notes,
landlord.taskRules.error.dialog.yes.label,Changer de forfait,Change plan,
plan.description.realestate.manage.description,Wazo vous permet d'ajouter un nombre illimité d'entreposage et de stationnements. Ces volets sont traités indépendemment des baux locatifs. Ceux-ci doivent être ajoutés sur la version ordinateur de Wazo.,Wazo allow you to add an unlimited number of storage and parking lots. These components are treated independently of the apartment leases. They must be added on the desktop version of Wazo.,
core.action.reorder,Réorganiser,Reorganize,
bankAccount.delete.message.description,Cette information sera supprimée définitivement.,This information will be permanently deleted.,
user.profile.storage.document.title,Documents,Documents,
plan.name.title.professionalannual,Premium,Premium,
core.none,Aucun,None,
book.transaction.empty.list,Aucune transaction,No transaction,
storage.action.add,Ajouter un entreposage,Add storage,
receivable.discount.type.cash,Comptant ,Cash ,
unit.title.size_type.penthouse,Penthouse,Penthouse,
lease.action.allocate,Allouer la location,Allocate the rent,
accounting.action.add,Ajouter une entrée,Add an journal entry,
landlord.action.add,Ajouter un propriétaire,Add owner,
receivable.discount.type.check,Chèque,Check,
taskRule.select.error.empty,Aucune règle existante,No existing task rule,
building.information.plural,Informations du bâtiment,Building information,
building.addMoreInformation,Ajouter plus d'informations,Add more information,
book.transaction.action.add,Ajouter une entrée comptable,Add an accounting entry,
core.category,Catégorie,Category,
gl_account.type.income,Revenu,Revenue,
core.thanks,Merci !,Thank you !,
lease.field.endDate.error.greater.than,La date doit être postérieure à,Date must be later than,
receivable.status.not_paid,Non payé,Unpaid,
authentication.sign-up-email.button.sign-up,Créer mon compte,Create my account,
plan.ref.col.who,À qui s’adresse-t-il ?,Who is he talking to?,
core.amount.total.after.discount,Montant restant à payer après promotion,Amount remaining to be paid after promotion,
document.action.scan,Scanner un document,Scan a document,
core.real.estate,Immobilier,Real estate,
gl_account.type.revenue,Revenu,Revenue,
core.camera.permission.title,Permission pour utiliser la caméra,Permission to use the camera,
tenants.label.no.tenant,Aucun locataire,No tenant,
plan.ref.col.intelligent.accounting,Comptabilité intelligente,Intelligent accounting,
lease.deleted.success,Succès de la suppression du bail,Lease delete success,
user.role.field.role_manager_accountant,Collaborateur financier,Financial Collaborator,
core.collection.action.add.title,Ajout d’un recevable,Add a receivable,
invoice.upload.scan.ocr,Scanner une facture (Smart data),Scan an invoice (Smart data),
receivable.discount.type.debit_card,Carte de débit,Debit card,
lease.field.rentAmountCollect,Loyer mensuel total à percevoir,Total monthly rent to collect,
lease.warning.message,"Vous ajoutez un colocataire, pensez à ajuster le montant du loyer.","You add a roomate (tenant), remember to adjust the amount of the rent.",
email.forgot.password.subject,Mot de passe oublié,Forgot password,
plan.ref.col.upky,Intelligence de marché propulsé par UPKY (www.upky.io),Market intelligence powered by UPKY (www.upky.io),
core.action.crop,Recadrer,Crop,
invoice.status.payment.to_pay,À payer,To pay,
lease.rentAmount.total.after.discount,Montant du loyer après promotion,Amount of rent after promotion,
parking.select,Sélectionner un stationnement,Select a parking lot,
core.location.search.address,Rechercher une adresse ...,Find an address ...,
user.users.list.field.username,Nom d'utilisateur,Username,
invoice.payment,Paiements,Payments,
authentication.login.label.remember-me,Se souvenir de moi,Remember me,
plan.benefit.doors,Nombre de logements illimité,Number of doors unlimited,
bankAccount.account.number.error.message,Le numéro du compte bancaire doit contenir 7 à 12 caractères alphanumériques (chiffres et lettres seulement).,The bank account number must contain 7 to 12 alphanumeric characters (numbers and letters only).,
document.category.invoice,Facture,Invoice,
invoice.warning.message,Votre balance doit être à 0 pour approuver.,Your balance must be 0 to approve.,
lease.field.endDate.error.empty,Merci de saisir une nouvelle date de fin de bail.,Please enter a new end date for the lease.,
unit.field.patioDoor,Porte fenêtre,French window,
lease.renew.date,Date de renouvellement,Renew date,
unit.information.plural,Informations de l’appartement,Apartment information,
lease.field.discount.promotion.amount.only,Montant de la promotion,Promotion Amount,
storage.information,Informations de l'entreposage,Storage information,
unit.addMoreInformation,Ajouter plus d'informations,Add more information,
user.role.action.find_out_more,En savoir plus...,Find out more...,
unit.title.size_type.studio,Studio (1 et demi),Studio (1 1/2),
lease.deleted.error,Veuillez révoquer le bail manuellement car au moin un recevable a été collecté,Please revoke the lease manually because at least one receivable has been collected,
invoice.number,Numéro de facture,Invoice number,
plan.alert.cancel.yesLabel,Continuer,Continue,
invoiceTask.history.title,Historique,Historic,
plan.button.header.change,Changer de plan,Change plan,
plan.button.header.yours,Votre plan,Your plan,
book.transaction.field.sequenceCode,Identifiant,Identifier,
tenant.type.tenant,Locataire,Tenant   ,
invoice.status.waiting_for_ocr,En attente,Waiting,
invoice.status.declined,Décliné,Declined,
invoice.type.debit,Débit,Debit,
core.email.error.unvalid,Merci de saisir une adresse courriel valide,Please enter a valid email address,
parking.action.add.title,Ajout d'un stationnement,Add a parking,
document.action.upload,Téléverser un document,Upload a document,
core.upload.maxFile,Nombre de fichiers acceptés,Maximum files accepted,
accounting.report.balance.current.total,MONTANT TOTAL COURANT,TOTAL AMOUNT CURRENT,
storage.title.type.locker,Casier ,Locker,
invoice.status.payment.paid,Payé,Paid,
authentication.mobile.local.security,Sécurité,Security,
core.lang.en-ca,Anglais,English,
payment.plan.form.error.credit.card,Une erreur est survenue,An error has occurred,
core.amount.debit,Débit,Debit,
accounting.report.balance.asset.title.plural,ACTIFS,ASSETS,
lease.label.prompt.renew.instructions,Veuillez saisir une nouvelle date de fin de bail et un nouveau montant.,Please enter a new end date and a new amount.,
building.error.missing.address,Merci de bien vouloir sélectionner une adresse complète (*),Please select a full address (*),
core.collection.action.show.unpaid,Voir les recevables non payés,See unpaid receivables,
